,Layer1,Layer2,Train loss,Test losses,Train Acc,Test Acc
0,120.0,120.0,0.019695309922099113,0.140801802277565,99.675,96.44
1,121.0,121.0,0.018153883516788483,0.1238192468881607,99.70666666666666,96.82
2,122.0,122.0,0.01998933218419552,0.12463276088237762,99.665,96.49
3,123.0,123.0,0.018102187663316727,0.1413162350654602,99.7,96.36
4,124.0,124.0,0.018679440021514893,0.12330816686153412,99.69,96.75
5,125.0,125.0,0.016905680298805237,0.15587450563907623,99.75333333333334,96.28
6,126.0,126.0,0.019756369292736053,0.12936155498027802,99.63166666666666,96.47
7,127.0,127.0,0.020420949906110764,0.13166028261184692,99.65166666666667,96.59
8,128.0,128.0,0.01552115473896265,0.1223425567150116,99.79,96.58
9,129.0,129.0,0.02095293253660202,0.1361541897058487,99.62166666666667,96.37
10,130.0,130.0,0.019603801891207695,0.13562649488449097,99.67166666666667,96.59
